User,Text,Date,Favorites,Retweets,Mentions,Hashtags,Geolocation
MarcoCostaRJ,"Isso é repugnante, uma sujeito sem qq escrúpulo. E, mais, de onde vêm essas pessoas?",2020-07-19 23:59:58+00:00,0,1,,,
MiltaoTrindade,@IntlCrimCourt President Jair Bolsonaro openly recommending the use of Chloroquine to the people. ,2020-07-19 23:59:57+00:00,0,0,@IntlCrimCourt,,
JWellingtonMelo,"Deixem de ser ridículos, @allantercalivre é jornalista, inveja destrói. #PatriotasComBolsonaro",2020-07-19 23:59:55+00:00,0,1,@allantercalivre,#PatriotasComBolsonaro,
lucianaccc,"Silêncio que a Miriam leitão tá descobrindo que Bolsonaro é um incompetente, fracassado e imbecil. Semana que vem ela descobre que ele é ladrão também ",2020-07-19 23:59:53+00:00,5,38,,,
PohCaleb,"Agora, se vc fala na esquerda MUNDIAL, aí você é só um garotinho burro e desinformado. Países como a Nova Zelândia, Suécia e outros, são governados por partidos de esquerda e são excelentes. O problema é a população brasileira que é burra mesmo, vc é um exemplo disso.",2020-07-19 23:59:43+00:00,0,1,,,
Juninhopreys1,O mst esta com o POVO,2020-07-19 23:59:41+00:00,0,1,,,
Isisdamle,"Eu odeio desejar que alguém se foda (a menos que esse alguém seja da família Bolsonaro), achava que eu era melhor que isso...",2020-07-19 23:59:40+00:00,0,0,,,
Adrianogodoy47,,2020-07-19 23:59:33+00:00,0,0,,,
MarthaMGR,Grande canalha @jairbolsonaro ,2020-07-19 23:59:32+00:00,0,0,@jairbolsonaro,,
Gnello,Bolsonaro agora está tomando vermífugo para combater a Covid19 e o próximo passo deverá seguir os conselhos de uma cigana q le as mãos pois parece quase cloroquina ñ deu certo,2020-07-19 23:59:31+00:00,0,0,,,
Sgt_Pimenta2,"Brazil needs to denounce Bolsonaro and his military advisers to the International Criminal Court. This is genocide, we do not have investments against covid-19, it is a result of a bad administration, we also have a lack of resources and equipment. The people simply are dying.",2020-07-19 23:59:29+00:00,4,6,,,
hellengomes,"Eu entendo quem tá indo até malhar, porque na moral eu queria MUITO voltar a malhar. Eu só não consigo cobrar dessas pessoas que elas fiquem em casa porque a culpa é do BOLSONARO FILHO DA PUTA QUE DIA 24/03 DISSE QUE ERA SÓ UMA GRIPEZINHA!!!!!!",2020-07-19 23:59:28+00:00,0,1,,,
MarvinGaspa,Campanha em apoio ao presidente Jair Bolsonaro é o assunto mais comentado do Twitter: “#PatriotasComBolsonaro”,2020-07-19 23:59:27+00:00,0,1,,#PatriotasComBolsonaro,
angeloliveira92,E o quê o cu tem a ver com as calças? Militante do PSDB?,2020-07-19 23:59:26+00:00,0,0,,,
joanaouteresa,Absurdo,2020-07-19 23:59:26+00:00,0,0,,,
luizant44315427,"#cpmfnao , dinheiro pro Centrão não , dinheiro pra família Bolsonaro não .",2020-07-19 23:59:23+00:00,0,0,,#cpmfnao,
EdjaneJesus,"Lembre do STF que decidiu que nosso Presidente não podia tomar qualquer medida sanitária contra o vírus chinês, deixou tudo nas mãos de Governadores e Prefeitos corruptos. Espero que a Polícia Federal consiga provas contra todos eles. #PatriotasComBolsonaro",2020-07-19 23:59:23+00:00,0,0,,#PatriotasComBolsonaro,
gilbfigu,"Que babaquice é esta Coco digo Xico ( eu digitei Xico e o corretor mudou para cocô, juro) qual a lógica de associar o desvario de um desembargador ao presidente?",2020-07-19 23:59:22+00:00,0,0,,,
ELIANE_A_SOUZA,"Se houve algo gigante nessa manifestação em apoio ao Bolsonaro, foi o vazio! O vácuo foi o protagonista nessa manifestação! ",2020-07-19 23:59:16+00:00,0,0,,,
RosaLils1,eu falo logo que é horrível ... sertanejo pra mim é quem Bolsonaro ,2020-07-19 23:59:14+00:00,1,2,,,
naomeachou,"TA FELIZ QUERIDO VIZINHO LESBOFÓBICO, GORDOFÓBICO, RACISTA, MACHISTA E ROBÔ DO BOLSONARO? tá feliz em me obrigar a mudar de casa durante uma pandemia?",2020-07-19 23:59:14+00:00,1,7,,,
julio_kaminski,"Agora programam guerra na AL. Já tem agentes infiltrados na Venezuela. Pergunta: alguém acha que o Maduro é ""contra"" os USA? Ou ""a favor"" da Rússia? Ingênuos...",2020-07-19 23:59:10+00:00,0,0,,,
JhonSilva30,"Como sei a pessoa corajosa que tu é,eu menso posto, usar imagens de tempos atrás,p mostrar um falso apoio ao @jairbolsonaro , chega a ser feio Embaixador do Hambúrguer ",2020-07-19 23:59:08+00:00,0,0,@jairbolsonaro,,
bradosensato,"Que filho da puta! Eu vi, agora, o Dória falando que vai liberar HCC pq Bolsonaro tem razão, mas apagou o video, mas eu vi. Juro por Lula.",2020-07-19 23:59:07+00:00,0,0,,,
dlplaki,"Nunca vi um patriota brasileiro bater continência pra bandeira americana, e um honesto fica tão preocupado com a prisão do Queiroz kkkkkk",2020-07-19 23:59:06+00:00,0,1,,,
LIABSSA,"Oportunista é esse historiador que deve ter inveja do @jairbolsonaro porque não tem coragem de fazer o mesmo e quer aparecer. Alias , muitos torcedores , como eu , pediram pra ele vestir a camisa do time preferido. Eu pedi pra ele vestir a camisa do Remo de Belém do Pará. ",2020-07-19 23:59:02+00:00,0,1,@jairbolsonaro,,
DYagnycz,"Chato heim! Bolsonaro peida, vem o Haddad falar do peido dele. Não tem coisa melhor pra fazer não?",2020-07-19 23:59:02+00:00,0,0,,,
joiced1975,"O governo federal economizou R$14,2 bilhões aos cofres púbicos durante o primeiro ano do mandato do presidente Jair Bolsonaro. via http://Pleno.News",2020-07-19 23:59:00+00:00,0,0,,,
JGouveaS,"“Patriotas com Bolsonaro” nos TT com mais de 250 mil menções. Se ele não conseguiu assinaturas suficientes para criar o 38, isso quer dizer q os robôs voltaram, e confirma q estão fazendo hora extra! ",2020-07-19 23:59:00+00:00,7,30,,,
LuciaraPereir11,Nordeste meu amor #PatriotasComBolsonaro,2020-07-19 23:58:59+00:00,0,0,,#PatriotasComBolsonaro,
JeovaineS,LIXO esse @LulaOficial,2020-07-19 23:58:49+00:00,0,1,@LulaOficial,,
g_dufrayer,"uma coisa é sair de casa no lockdown, outra é quando tá tudo aberto legalmente transferir a culpa dos governantes pra dona Maria é ridículo quer militar? se organiza num partido de oposição ai e desce a lenha no Bolsonaro pô",2020-07-19 23:58:49+00:00,0,0,,,
nicaxeneize,¿El de acá no puede emular algo así hoy? Quiero leer a los patriotas 2.0 que alaban a Bolsonaro. ,2020-07-19 23:58:49+00:00,0,0,,,
Antonio58123,"Ah Bob Jeff, é isso que deixa os invejosos morrendo de raiva. Quem, quem, quem hoje é capaz de fazer isso??? Eles ficam se rasgando todo. Em tempo: obrigado por esse apoio massivo ao nosso Presidente @jairbolsonaro. Você está sendo espetacular. #PatriotasComBolsonaro",2020-07-19 23:58:48+00:00,8,52,@jairbolsonaro,#PatriotasComBolsonaro,
rickmaniezo,O curioso é que essa sanha de querer cassar atos do executivo começou só no governo Bolsonaro. Muito interessante. ,2020-07-19 23:58:47+00:00,1,7,,,
Maria_Brasil64,Parabéns ministros @tarcisiogdf,2020-07-19 23:58:44+00:00,0,0,@tarcisiogdf,,
PohCaleb,"Obrigado por provar meu ponto. Se você tivesse noção do espectro de esquerda e direita saberia que qualquer pessoa com capacidade argumentativa segue figuras de esquerda e de direita, pra se informar. E a esquerda brasileira é um lixo mesmo, a direita também.",2020-07-19 23:58:43+00:00,0,1,,,
mluizapereiras,Mais uma vitória para Bolsonaro e família.,2020-07-19 23:58:42+00:00,0,4,,,
japprince,"Duelo entre Bolsonaro e Mourão é uma briga de extermínio, e só um restará http://www.tribunadainternet.com.br/duelo-entre-bolsonaro-e-mourao-e-uma-briga-de-exterminio-e-so-um-restara/",2020-07-19 23:58:42+00:00,0,1,,,
MHarmenon,Sim #PatriotasComBolsonaro ,2020-07-19 23:58:41+00:00,0,2,,#PatriotasComBolsonaro,
guim_hiago,Pastelão,2020-07-19 23:58:34+00:00,0,1,,,
SRabecini,#HaddadNaGloboNews BOLSONARO REELEITO ,2020-07-19 23:58:33+00:00,0,0,,#HaddadNaGloboNews,
suelennolasco,Mais o @jairbolsonaro tambem é responsável voce leu o despacho do ministro? leia que entendera que é responsabilidade de todos.,2020-07-19 23:58:32+00:00,0,2,@jairbolsonaro,,
Ze_Ricardino,Bolsonaro levantando a cloroquina. ,2020-07-19 23:58:25+00:00,0,2,,,
megpatriota1,100% @jairbolsonaro 100% @realDonaldTrump,2020-07-19 23:58:22+00:00,0,1,@jairbolsonaro @realDonaldTrump,,
ofx_gu,Bolsonaro liberou os 600 kkkk,2020-07-19 23:58:21+00:00,0,1,,,
jaurivepo,"O Ministro da Infraestrutura Tarcísio Gomes de Freitas, anunciou o Porto de Viseu e os últimos trechos da Transoceânica, a BR 308, que liga Bragança/Viseu/São Luís. Nem uma linha foi comentada pela mídia sobre as duas importantes obras do Governo Bolsonaro, no Pará. ",2020-07-19 23:58:15+00:00,0,1,,,
olhardecarolina,"Minha questão não é tanto relacionado ao Trump ou Bolsonaro, mas a suspensão de crítica que é necessário pra acreditar nesse tipo de gente 171. E, nesse caso, Trump é 171. Bolsonaro não tem inteligência nem pra isso. Trump é pastor, vendedor de carro usado e o povo acredita!",2020-07-19 23:58:13+00:00,0,0,,,
ariett,@GetVidBot,2020-07-19 23:58:10+00:00,0,0,@GetVidBot,,
globoxx,Los políticos deberían donar obligatoriamente plasma. Se contagian en masa y a ninguno le pasa nada. Yo quiero esos anticuerpos..,2020-07-19 23:58:10+00:00,1,0,,,
MariluParreiras,"NÃO ESCAPA UM DOS QUE APOIAM O DESGOVERNO BOLSONARO? Pai do ministro das Comunicações Fábio Faria, o ex-governador do Rio Grande do Norte, Robinson Faria, denunciado pelo Ministério Público (MPRN) por esquema que desviou cerca de R$3,7 milhões da AL RN. ",2020-07-19 23:58:09+00:00,17,21,,,
colunapatriota,Campanha em apoio ao presidente Jair Bolsonaro é o assunto mais comentado do Twitter: #PatriotasComBolsonaro Siga:@gazeta_brasil,2020-07-19 23:58:09+00:00,0,5,@gazeta_brasil,#PatriotasComBolsonaro,
AminPhoto,Cloroquina é a porra! O nome é REMÉDIO DO BOLSONARO!!!!! ,2020-07-19 23:58:08+00:00,0,0,,,
Juvenal1955,"Isso é reflexo de um povo que esta sendo humilhado e não percebe resposta do Presidente. Hoje deveria ter uma multidão nas ruas, mas os apoiadores de BOLSONARO estão presos esperando por uma atitude do PRESIDENTE que os incorajam a tomar as ruas.",2020-07-19 23:58:07+00:00,0,0,,,
cappellarianton,"sim, é animador, o grande problema é que nunca sabemos quanto custa uma condenação com sentença de cassação de chapa, mas temos que acreditar,o mercado financeiro,lulistas,ciristas,centrão,simpáticos a criminosa lava jato, todos querendo que bolsonaro e mourão sejam punidos",2020-07-19 23:58:07+00:00,0,2,,,
medeiroscwb,A mídia mente é quem fala a verdade é o governo Bolsonaro... Sei...,2020-07-19 23:57:57+00:00,0,3,,,
anaxxf,"meu irmao mais velho tava cantando fogo nos racistas, meu outro irmao falou ""kla boca tu votou no bolsonaro"" kkkkkkkkkkkkkkkkk",2020-07-19 23:57:55+00:00,0,6,,,
thales_gazzola,A mocinha ficou braba uiuiui,2020-07-19 23:57:45+00:00,0,1,,,
francaax1,Nem @IDF descobre o mandante de matar @jairbolsonaro quem dira @FBI ou @realDonaldTrump,2020-07-19 23:57:41+00:00,0,0,@IDF @jairbolsonaro @FBI @realDonaldTrump,,
xxRodrigoLimaxx,"Nordestino DESABAFA e agradece a BOLSONARO pela chegada da água, PERNAMB... https://youtu.be/aSe4owd03cY via @YouTube .",2020-07-19 23:57:38+00:00,0,2,@YouTube,,
apedrinhoo,"Postei um print na outra rede, sobre a língua estrangeira ser uma baita carteirada do rico no pobre e já veio uma eleitora do bolsonaro me azedar E não sei o que mais tenho que fazer pra entenderem o simples: não dou trela pra eleitor do cara, arrependido ou não Quero que faleçam",2020-07-19 23:57:36+00:00,0,3,,,
DasMonge,Kkkkkkkkkkkkkkkkkk Mais um especialista... Haja paciência.,2020-07-19 23:57:35+00:00,0,0,,,
Juliaro31023474,A Agropecuária em São Miguel do Araguaia - GO está com você Presidente! @jairbolsonaro ,2020-07-19 23:57:34+00:00,0,0,@jairbolsonaro,,
BotelhoFm,"Bolsonaro não tem atitudes de presidente, parece muleque do mal. Como pode aparecer em público levando uma caixa de cloroquina? Isto é crime, muitas pessoas sem conhecimento que são seus eleitores fanáticos, podem ser prejudicados em sua saúde.",2020-07-19 23:57:32+00:00,0,1,,,
xxRodrigoLimaxx,"Nordestino DESABAFA e agradece a BOLSONARO pela chegada da água, PERNAMB... https://youtu.be/aSe4owd03cY via @YouTube",2020-07-19 23:57:31+00:00,0,3,@YouTube,,
tamir_rimat,"Não entendo por que o pessoal da esquerda não entra com uma ação na justiça contra essas atitudes do Bolsonaro. Eles só acabam dando razão quando a gente diz q eles não prestam pra nada, pelo q tenho visto quem ta mais batendo no Bozo são os descontentes da direita q acordaram.",2020-07-19 23:57:28+00:00,0,2,,,
heuzebio,#PatriotasComBolsonaro,2020-07-19 23:57:07+00:00,0,1,,#PatriotasComBolsonaro,
MarcosCoca8,Minha mãe com 86 anos teve sintomas de covid-19 e logo no primeiro dia demos ivermectina. No dia seguinte a Prevent Sênior enviou Cloroquina e Azitromicina. Problema resolvido e ela já está ótima,2020-07-19 23:57:06+00:00,0,7,,,
VladsonAjala,"As atitudes do Bolsonaro reforçam a tese de que ele nem esteve doente, apenas criou isso para reforçar a ideia de que hidroxicloroquina funciona no combate à Covid-19. Será? Por enquanto, é só desconfiança mesmo.",2020-07-19 23:57:03+00:00,0,1,,,
caldeira_gisele,Parabéns João Pinheiro/MG.,2020-07-19 23:57:01+00:00,0,5,,,
pliniogoes,"Quem caiu hoje foi o pres do Supremo, Corte que @jose_neumanne não confia. Já @jairbolsonaro passa bem e até saudou o povo neste domingo. Exibiu uma caixa de HCQ, remédio barato e eficaz. Imprensa de Neumanne é culpada por não divulgá-lo. Ainda há tempo! ",2020-07-19 23:56:59+00:00,0,0,@jose_neumanne @jairbolsonaro,,
Rodjer80s1,"@jairbolsonaro não é a melhor opção, é a única!",2020-07-19 23:56:59+00:00,0,1,@jairbolsonaro,,
